F1	1_0;2_1;3_1;4_0;5_0;6_0;7_0;8_1;9_0
F2	1_0;2_1;3_0;4_0;5_0;6_0;7_0;8_1;9_0
F3	1_1;2_1;3_0;4_0;5_1;6_0;7_0;8_0;9_0
F4	1_1;2_0;3_0;4_0;5_0;6_0;7_0;8_1;9_0
F5	1_1;2_1;3_0;4_0;5_0;6_0;7_0;8_0;9_0
F6	1_1;2_0;3_0;4_0;5_0;6_0;7_0;8_1;9_0
F7	1_1;2_0;3_0;4_0;5_0;6_0;7_0;8_0;9_0
F8	1_0;2_0;3_0;4_0;5_0;6_0;7_0;8_0;9_1
F9	1_0;2_1;3_0;4_0;5_0;6_0;7_0;8_1;9_0
F10	1_1;2_0;3_0;4_0;5_0;6_0;7_0;8_1;9_0
F11	1_1;2_0;3_0;4_0;5_0;6_0;7_0;8_0;9_0
F12	1_0;2_0;3_0;4_0;5_0;6_1;7_1;8_0;9_0
F13	1_0;2_1;3_0;4_0;5_0;6_0;7_1;8_0;9_0
F14	1_1;2_0;3_0;4_0;5_0;6_0;7_1;8_0;9_0
F15	1_0;2_1;3_0;4_0;5_0;6_0;7_0;8_0;9_1
